# Exact Mahonian harness extension, m = 4..400
# Exact integer/Fraction arithmetic in every verdict; floats display-only.
# sigma^2 = m(m-1)(2m+5)/72; C_SHARP = 187/216 = 0.8657407407407407
# mfit column = m*(1 - varfit), predicted -> 27/25 = 1.08
   m      N argmin    mid          r-1       varfit     mfit verdict
   4      6      2      3   3.8889e-01 0.8425925926  0.62963   PASS
   5     10      5      5   2.1000e-01 0.8750000000  0.62500   PASS
   6     15      7      7   1.2222e-01 0.8657407407  0.80556   PASS
   7     21     10     10   7.9096e-02 0.8766478343  0.86347   PASS
   8     28     14     14   5.4250e-02 0.8860774730  0.91138   PASS
   9     36     18     18   3.8942e-02 0.8956682504  0.93899   PASS
  10     45     22     22   2.8950e-02 0.9046950274  0.95305   PASS
  11     55     27     27   2.2102e-02 0.9117265294  0.97101   PASS
  12     66     33     33   1.7258e-02 0.9175409322  0.98951   PASS
  13     78     39     39   1.3743e-02 0.9230850564  0.99989   PASS
  14     91     45     45   1.1127e-02 0.9281744558  1.00556   PASS
  15    105     52     52   9.1342e-03 0.9324535720  1.01320   PASS
  16    120     60     60   7.5904e-03 0.9361512758  1.02158   PASS
  17    136     68     68   6.3774e-03 0.9396057397  1.02670   PASS
  18    153     76     76   5.4106e-03 0.9427945751  1.02970   PASS
  19    171     85     85   4.6296e-03 0.9455935808  1.03372   PASS
  20    190     95     95   3.9919e-03 0.9480864571  1.03827   PASS
  21    210    105    105   3.4666e-03 0.9504186427  1.04121   PASS
  22    231    115    115   3.0297e-03 0.9525902569  1.04301   PASS
  23    253    126    126   2.6632e-03 0.9545468084  1.04542   PASS
  24    276    138    138   2.3535e-03 0.9563253511  1.04819   PASS
  25    300    150    150   2.0902e-03 0.9579979431  1.05005   PASS
  26    325    162    162   1.8647e-03 0.9595677063  1.05124   PASS
  27    351    175    175   1.6706e-03 0.9610069812  1.05281   PASS
  28    378    189    189   1.5025e-03 0.9623344729  1.05463   PASS
  29    406    203    203   1.3562e-03 0.9635897404  1.05590   PASS
  30    435    217    217   1.2284e-03 0.9647756729  1.05673   PASS
  31    465    232    232   1.1161e-03 0.9658767373  1.05782   PASS
  32    496    248    248   1.0171e-03 0.9669033223  1.05909   PASS
  33    528    264    264   9.2946e-04 0.9678788840  1.06000   PASS
  34    561    280    280   8.5163e-04 0.9688056532  1.06061   PASS
  35    595    297    297   7.8226e-04 0.9696742330  1.06140   PASS
  36    630    315    315   7.2022e-04 0.9704908269  1.06233   PASS
  37    666    333    333   6.6457e-04 0.9712701993  1.06300   PASS
  38    703    351    351   6.1452e-04 0.9720140065  1.06347   PASS
  39    741    370    370   5.6937e-04 0.9727162295  1.06407   PASS
  40    780    390    390   5.2853e-04 0.9733807895  1.06477   PASS
  41    820    410    410   4.9151e-04 0.9740174328  1.06529   PASS
  42    861    430    430   4.5788e-04 0.9746273859  1.06565   PASS
  43    903    451    451   4.2724e-04 0.9752066147  1.06612   PASS
  44    946    473    473   3.9927e-04 0.9757577135  1.06666   PASS
  45    990    495    495   3.7370e-04 0.9762873710  1.06707   PASS
  46   1035    517    517   3.5026e-04 0.9767965032  1.06736   PASS
  47   1081    540    540   3.2875e-04 0.9772823051  1.06773   PASS
  48   1128    564    564   3.0896e-04 0.9777465587  1.06817   PASS
  49   1176    588    588   2.9073e-04 0.9781940044  1.06849   PASS
  50   1225    612    612   2.7390e-04 0.9786253357  1.06873   PASS
  51   1275    637    637   2.5835e-04 0.9790385413  1.06903   PASS
  52   1326    663    663   2.4395e-04 0.9794348845  1.06939   PASS
  53   1378    689    689   2.3061e-04 0.9798178173  1.06966   PASS
  54   1431    715    715   2.1822e-04 0.9801878720  1.06985   PASS
  55   1485    742    742   2.0670e-04 0.9805435688  1.07010   PASS
  56   1540    770    770   1.9598e-04 0.9808858274  1.07039   PASS
  57   1596    798    798   1.8599e-04 0.9812172208  1.07062   PASS
  58   1653    826    826   1.7667e-04 0.9815381629  1.07079   PASS
  59   1711    855    855   1.6795e-04 0.9818475409  1.07100   PASS
  60   1770    885    885   1.5981e-04 0.9821460397  1.07124   PASS
  61   1830    915    915   1.5218e-04 0.9824356158  1.07143   PASS
  62   1891    945    945   1.4503e-04 0.9827165957  1.07157   PASS
  63   1953    976    976   1.3832e-04 0.9829881260  1.07175   PASS
  64   2016   1008   1008   1.3202e-04 0.9832507272  1.07195   PASS
  65   2080   1040   1040   1.2609e-04 0.9835059134  1.07212   PASS
  66   2145   1072   1072   1.2052e-04 0.9837539448  1.07224   PASS
  67   2211   1105   1105   1.1526e-04 0.9839941564  1.07239   PASS
  68   2278   1139   1139   1.1031e-04 0.9842269506  1.07257   PASS
  69   2346   1173   1173   1.0564e-04 0.9844535170  1.07271   PASS
  70   2415   1207   1207   1.0123e-04 0.9846740657  1.07282   PASS
  71   2485   1242   1242   9.7061e-05 0.9848880706  1.07295   PASS
  72   2556   1278   1278   9.3118e-05 0.9850958475  1.07310   PASS
  73   2628   1314   1314   8.9386e-05 0.9852983443  1.07322   PASS
  74   2701   1350   1350   8.5850e-05 0.9854957320  1.07332   PASS
  75   2775   1387   1387   8.2499e-05 0.9856875892  1.07343   PASS
