# Exact Mahonian harness extension (checkpointed), m = 4..560
# Exact integer/Fraction arithmetic in every verdict; floats display-only.
# sigma^2 = m(m-1)(2m+5)/72; C_SHARP = 187/216 = 0.8657407407407407
# mfit column = m*(1 - varfit), predicted -> 27/25 = 1.08
# prior PASS rows honored (skipped here): 478 from ['../wave2_repairs/results_m540.txt']
   m      N argmin    mid          r-1       varfit     mfit verdict
 482 115921  57960  57960   3.1977e-07 0.9977609202  1.07924   PASS
 483 116403  58201  58201   3.1780e-07 0.9977655525  1.07924   PASS
 484 116886  58443  58443   3.1583e-07 0.9977701655  1.07924   PASS
 485 117370  58685  58685   3.1389e-07 0.9977747596  1.07924   PASS
 486 117855  58927  58927   3.1196e-07 0.9977793351  1.07924   PASS
 487 118341  59170  59170   3.1004e-07 0.9977838916  1.07924   PASS
 488 118828  59414  59414   3.0814e-07 0.9977884292  1.07925   PASS
 489 119316  59658  59658   3.0626e-07 0.9977929485  1.07925   PASS
 490 119805  59902  59902   3.0439e-07 0.9977974495  1.07925   PASS
 491 120295  60147  60147   3.0254e-07 0.9978019321  1.07925   PASS
 492 120786  60393  60393   3.0070e-07 0.9978063962  1.07925   PASS
 493 121278  60639  60639   2.9888e-07 0.9978108425  1.07925   PASS
 494 121771  60885  60885   2.9707e-07 0.9978152709  1.07926   PASS
 495 122265  61132  61132   2.9528e-07 0.9978196813  1.07926   PASS
# --- resume 2026-08-12 08:07:47: 492 m already certified, continuing to 560 ---
 496 122760  61380  61380   2.9350e-07 0.9978240737  1.07926   PASS
 497 123256  61628  61628   2.9173e-07 0.9978284486  1.07926   PASS
 498 123753  61876  61876   2.8998e-07 0.9978328062  1.07926   PASS
 499 124251  62125  62125   2.8824e-07 0.9978371461  1.07926   PASS
 500 124750  62375  62375   2.8652e-07 0.9978414685  1.07927   PASS
 501 125250  62625  62625   2.8481e-07 0.9978457739  1.07927   PASS
 502 125751  62875  62875   2.8312e-07 0.9978500622  1.07927   PASS
 503 126253  63126  63126   2.8143e-07 0.9978543334  1.07927   PASS
 504 126756  63378  63378   2.7977e-07 0.9978585875  1.07927   PASS
 505 127260  63630  63630   2.7811e-07 0.9978628248  1.07927   PASS
 506 127765  63882  63882   2.7647e-07 0.9978670457  1.07927   PASS
 507 128271  64135  64135   2.7484e-07 0.9978712497  1.07928   PASS
 508 128778  64389  64389   2.7322e-07 0.9978754370  1.07928   PASS
 509 129286  64643  64643   2.7161e-07 0.9978796080  1.07928   PASS
 510 129795  64897  64897   2.7002e-07 0.9978837629  1.07928   PASS
 511 130305  65152  65152   2.6844e-07 0.9978879013  1.07928   PASS
 512 130816  65408  65408   2.6688e-07 0.9978920235  1.07928   PASS
 513 131328  65664  65664   2.6532e-07 0.9978961297  1.07929   PASS
 514 131841  65920  65920   2.6378e-07 0.9979002201  1.07929   PASS
 515 132355  66177  66177   2.6225e-07 0.9979042945  1.07929   PASS
 516 132870  66435  66435   2.6073e-07 0.9979083530  1.07929   PASS
 517 133386  66693  66693   2.5922e-07 0.9979123959  1.07929   PASS
 518 133903  66951  66951   2.5772e-07 0.9979164233  1.07929   PASS
 519 134421  67210  67210   2.5624e-07 0.9979204352  1.07929   PASS
 520 134940  67470  67470   2.5477e-07 0.9979244314  1.07930   PASS
 521 135460  67730  67730   2.5331e-07 0.9979284125  1.07930   PASS
 522 135981  67990  67990   2.5185e-07 0.9979323785  1.07930   PASS
 523 136503  68251  68251   2.5042e-07 0.9979363291  1.07930   PASS
 524 137026  68513  68513   2.4899e-07 0.9979402646  1.07930   PASS
 525 137550  68775  68775   2.4757e-07 0.9979441852  1.07930   PASS
 526 138075  69037  69037   2.4616e-07 0.9979480911  1.07930   PASS
 527 138601  69300  69300   2.4477e-07 0.9979519820  1.07931   PASS
 528 139128  69564  69564   2.4338e-07 0.9979558580  1.07931   PASS
 529 139656  69828  69828   2.4200e-07 0.9979597196  1.07931   PASS
 530 140185  70092  70092   2.4064e-07 0.9979635667  1.07931   PASS
 531 140715  70357  70357   2.3928e-07 0.9979673992  1.07931   PASS
 532 141246  70623  70623   2.3794e-07 0.9979712172  1.07931   PASS
 533 141778  70889  70889   2.3660e-07 0.9979750209  1.07931   PASS
 534 142311  71155  71155   2.3528e-07 0.9979788106  1.07932   PASS
 535 142845  71422  71422   2.3397e-07 0.9979825860  1.07932   PASS
 536 143380  71690  71690   2.3266e-07 0.9979863472  1.07932   PASS
 537 143916  71958  71958   2.3137e-07 0.9979900945  1.07932   PASS
 538 144453  72226  72226   2.3008e-07 0.9979938280  1.07932   PASS
 539 144991  72495  72495   2.2880e-07 0.9979975476  1.07932   PASS
 540 145530  72765  72765   2.2754e-07 0.9980012533  1.07932   PASS
 541 146070  73035  73035   2.2628e-07 0.9980049454  1.07932   PASS
 542 146611  73305  73305   2.2503e-07 0.9980086239  1.07933   PASS
 543 147153  73576  73576   2.2379e-07 0.9980122889  1.07933   PASS
 544 147696  73848  73848   2.2256e-07 0.9980159403  1.07933   PASS
 545 148240  74120  74120   2.2134e-07 0.9980195783  1.07933   PASS
 546 148785  74392  74392   2.2013e-07 0.9980232032  1.07933   PASS
 547 149331  74665  74665   2.1893e-07 0.9980268147  1.07933   PASS
 548 149878  74939  74939   2.1773e-07 0.9980304130  1.07933   PASS
 549 150426  75213  75213   2.1655e-07 0.9980339982  1.07933   PASS
 550 150975  75487  75487   2.1537e-07 0.9980375706  1.07934   PASS
 551 151525  75762  75762   2.1420e-07 0.9980411298  1.07934   PASS
 552 152076  76038  76038   2.1304e-07 0.9980446761  1.07934   PASS
 553 152628  76314  76314   2.1189e-07 0.9980482097  1.07934   PASS
 554 153181  76590  76590   2.1074e-07 0.9980517306  1.07934   PASS
 555 153735  76867  76867   2.0961e-07 0.9980552387  1.07934   PASS
 556 154290  77145  77145   2.0848e-07 0.9980587342  1.07934   PASS
 557 154846  77423  77423   2.0736e-07 0.9980622171  1.07935   PASS
 558 155403  77701  77701   2.0625e-07 0.9980656878  1.07935   PASS
 559 155961  77980  77980   2.0515e-07 0.9980691459  1.07935   PASS
 560 156520  78260  78260   2.0405e-07 0.9980725915  1.07935   PASS
#
# elapsed this run: 429.6 s; new rows: 65; prior rows honored: 492; failures (new rows): 0
# OVERALL: PASS -- all of C1..C6 hold exactly for 4 <= m <= 560 (C2/C3 with the known m=4 exception; rows split across this file and the honored prior file(s)).
# checkpoint varfit values (exact Fraction -> 12 digits):
#   varfit(534) = 0.997978810615
#   varfit(535) = 0.997982586007
#   varfit(536) = 0.997986347205
#   varfit(537) = 0.997990094521
#   varfit(540) = 0.998001253256
#   varfit(560) = 0.998072591511
